ano,m?,dia,dia_juliano,hora,calor_sens [W/m2],vel_atri [m/s],vel_convc [m/s],grad_temp[K/m],altura_mist_ convec [m],altura_mist_ convec_mec [m],MoninObukhov[m],comp_rug_sup[m],bowen,albedo ,velo_vento[m/s],dir_vento[?],alt_anemometro[m],temp[K],temp[?C],alt_medicao[m],cod_prec,precip[mm/hr],umid_rela[%],pressao[mb],cob_nuvens,ajuste,interpolacao
23,1,1,1,1,-44.6,0.51,-9,-9,-999,875,268.4,0.7314,0.29,1,4.1,1,14,298.1,24.95,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,2,-46.1,0.527,-9,-9,-999,917,286,0.7957,0.29,1,4.1,358,14,298.1,24.95,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,3,-52.7,0.602,-9,-9,-999,1120,373.6,0.7957,0.29,1,4.6,354,14,298.1,24.95,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,4,-59.1,0.676,-9,-9,-999,1332,471.1,0.7957,0.29,1,5.1,343,14,298.1,24.95,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,5,-24.2,0.277,-9,-9,-999,570,79.1,0.7957,0.29,1,2.6,333,14,298.1,24.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,1,1,6,-44.6,0.44,-9,-9,-999,699,171.5,0.7957,0.29,0.7,3.6,332,14,297.1,23.95,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,1,1,7,12.1,0.511,-9,-9,-999,876,-995.1,0.7957,0.29,0.31,3.6,325,14,297.1,23.95,2,0,0,94,1010,2,NAD-SFC,Sub_CC
23,1,1,1,8,45.1,0.465,-9,-9,-999,763,-200.7,0.7957,0.29,0.19,3.1,323,14,297.1,23.95,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,9,76.2,0.416,-9,-9,-999,647,-85.3,0.7957,0.29,0.16,2.6,337,14,297.1,23.95,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,10,101.8,0.536,-9,-9,-999,942,-136.5,0.7314,0.29,0.15,3.6,11,14,298.1,24.95,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,1,1,11,108.5,0.538,-9,-9,-999,948,-129.6,0.7314,0.29,0.14,3.6,14,14,299.1,25.95,2,0,0,79,1010,6,NAD-SFC,NoSubs
23,1,1,1,12,118.1,0.618,-9,-9,-999,1165,-180.4,0.7957,0.29,0.14,4.1,346,14,300.1,26.95,2,0,0,74,1010,6,NAD-SFC,NoSubs
23,1,1,1,13,134.1,0.623,-9,-9,-999,1179,-162.2,0.7957,0.29,0.14,4.1,353,14,301.1,27.95,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,14,129.1,0.621,-9,-9,-999,1176,-167.4,0.7957,0.29,0.14,4.1,359,14,301.1,27.95,2,0,0,66,1010,3,NAD-SFC,NoSubs
23,1,1,1,15,115.3,0.747,-9,-9,-999,1544,-325.1,0.7957,0.29,0.14,5.1,352,14,303.1,29.95,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,1,1,16,93.8,0.818,-9,-9,-999,1771,-525.7,0.79,0.29,0.15,5.7,54,14,303.1,29.95,2,0,0,66,1010,1,NAD-SFC,NoSubs
23,1,1,1,17,65.7,0.879,-9,-9,-999,1971,-930.6,0.79,0.29,0.16,6.2,61,14,302.1,28.95,2,0,0,66,1010,1,NAD-SFC,NoSubs
23,1,1,1,18,34.5,0.574,-9,-9,-999,1157,-493.6,0.7314,0.29,0.22,4.1,37,14,302.1,28.95,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,19,1.9,0.71,-9,-9,-999,1434,-8888,0.79,0.29,0.41,5.1,74,14,302.1,28.95,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,20,-64,0.763,-9,-9,-999,1597,626.1,0.79,0.29,1,5.7,77,14,300.1,26.95,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,1,1,21,-60.1,0.594,-9,-9,-999,1133,314.1,0.79,0.29,1,4.6,70,14,300.1,26.95,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,1,1,22,-52.5,0.517,-9,-9,-999,902,237.6,0.79,0.29,1,4.1,62,14,299.1,25.95,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,1,1,23,-23.2,0.266,-9,-9,-999,398,73.2,0.7314,0.29,1,2.6,10,14,299.1,25.95,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,1,1,24,-31,0.356,-9,-9,-999,509,130.6,0.7314,0.29,1,3.1,30,14,299.1,25.95,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,1,-31,0.356,-9,-9,-999,509,130.6,0.7314,0.29,1,3.1,16,14,299.1,25.95,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,2,-44.5,0.511,-9,-9,-999,875,269.5,0.7314,0.29,1,4.1,22,14,299.1,25.95,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,3,-44.5,0.511,-9,-9,-999,876,269.5,0.7314,0.29,1,4.1,2,14,299.1,25.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,2,2,4,-52.5,0.602,-9,-9,-999,1120,375,0.7957,0.29,1,4.6,360,14,299.1,25.95,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,5,-57.2,0.656,-9,-9,-999,1273,444.9,0.7314,0.29,1,5.1,6,14,299.1,25.95,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,6,-52.4,0.603,-9,-9,-999,1128,376.2,0.7957,0.29,0.71,4.6,357,14,298.1,24.95,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,2,2,7,13.3,0.725,0.441,0.013,232,1477,-2582.2,0.8225,0.29,0.31,5.1,249,14,298.1,24.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,2,2,8,42.8,0.528,0.799,0.005,429,963,-309.6,0.7957,0.29,0.19,3.6,326,14,298.1,24.95,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,2,2,9,77.2,0.671,1.115,0.007,647,1317,-352.5,0.7957,0.29,0.16,4.6,330,14,298.1,24.95,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,2,2,10,102.4,0.764,1.346,0.013,859,1597,-391.7,0.8633,0.29,0.15,5.1,311,14,298.1,24.95,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,2,2,11,120.8,0.892,1.529,0.005,1068,2014,-529.3,0.7957,0.29,0.14,6.2,345,14,300.1,26.95,2,0,0,79,1010,1,NAD-SFC,NoSubs
23,1,2,2,12,132,0.961,1.662,0.005,1256,2252,-605,0.7957,0.29,0.14,6.7,351,14,300.1,26.95,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,2,2,13,134.1,0.961,1.742,0.005,1423,2260,-596.2,0.7957,0.29,0.14,6.7,349,14,301.1,27.95,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,2,2,14,129,0.96,1.771,0.005,1553,2258,-617.9,0.7957,0.29,0.14,6.7,357,14,302.1,28.95,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,15,115.4,0.958,1.736,0.005,1637,2250,-685.9,0.7957,0.29,0.14,6.7,360,14,303.1,29.95,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,2,2,16,93.6,1.125,1.64,0.005,1698,2848,-1369.9,0.7314,0.29,0.15,8.2,14,14,302.1,28.95,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,17,65.5,1.121,1.467,0.005,1738,2849,-1937.1,0.7314,0.29,0.16,8.2,8,14,301.1,27.95,2,0,0,74,1010,1,NAD-SFC,NoSubs
23,1,2,2,18,33,1.116,1.173,0.005,1762,2832,-3792.8,0.7314,0.29,0.22,8.2,21,14,302.1,28.95,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,19,0.1,1.043,0.153,0.005,1762,2577,-8888,0.7314,0.29,0.41,7.7,2,14,302.1,28.95,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,20,-64,1.027,-9,-9,-999,2504,1526.3,0.7314,0.29,1,7.7,25,14,301.1,27.95,2,0,0,74,1010,1,NAD-SFC,NoSubs
23,1,2,2,21,-64,0.957,-9,-9,-999,2264,1234.4,0.7314,0.29,1,7.2,14,14,301.1,27.95,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,2,2,22,-51,0.502,-9,-9,-999,1140,223.9,0.7314,0.29,1,4.1,15,14,299.1,25.95,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,2,2,23,-64,0.914,-9,-9,-999,2094,1073.8,0.7957,0.29,1,6.7,357,14,299.1,25.95,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,2,2,24,-64,0.987,-9,-9,-999,2343,1351,0.7957,0.29,1,7.2,358,14,299.1,25.95,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,3,3,1,-64,0.914,-9,-9,-999,2111,1073.8,0.7957,0.29,1,6.7,360,14,299.1,25.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,2,-64,0.84,-9,-9,-999,1864,834.9,0.7957,0.29,1,6.2,356,14,299.1,25.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,3,-64,0.765,-9,-9,-999,1621,631.2,0.7957,0.29,1,5.7,354,14,299.1,25.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,4,-64,0.765,-9,-9,-999,1608,631.2,0.7957,0.29,1,5.7,340,14,299.1,25.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,5,-64,0.765,-9,-9,-999,1607,631.2,0.7957,0.29,1,5.7,337,14,299.1,25.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,6,-60.3,0.596,-9,-9,-999,1138,315.5,0.7957,0.29,0.71,4.6,339,14,299.1,25.95,2,0,0,89,1010,3,NAD-SFC,NoSubs
23,1,3,3,7,10.9,0.578,0.557,0.01,569,1058,-1592.5,0.7957,0.29,0.31,4.1,336,14,299.1,25.95,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,8,45,0.594,0.925,0.01,633,1099,-420.2,0.7957,0.29,0.19,4.1,319,14,299.1,25.95,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,9,76.2,0.478,1.155,0.007,729,807,-129.5,0.7957,0.29,0.16,3.1,318,14,299.1,25.95,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,3,3,10,101.7,0.536,1.316,0.01,808,942,-136.7,0.7314,0.29,0.15,3.6,4,14,299.1,25.95,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,3,3,11,120.7,0.301,1.44,0.009,892,451,-20.4,0.8633,0.29,0.14,1.5,302,14,300.1,26.95,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,12,131.5,0.303,1.526,0.01,974,401,-19.1,0.8524,0.29,0.14,1.5,198,14,300.1,26.95,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,13,134.4,0.846,1.578,0.005,1054,1869,-406.4,0.8473,0.29,0.14,5.7,151,14,302.1,28.95,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,3,3,14,129.2,1.187,1.59,0.005,1123,3092,-1167.2,0.8473,0.29,0.14,8.2,142,14,301.1,27.95,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,3,3,15,114.8,1.118,1.554,0.005,1179,2857,-1097.1,0.8524,0.29,0.14,7.7,187,14,299.1,25.95,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,3,3,16,84.1,0.642,1.416,0.005,1218,1556,-282.8,0.6829,0.29,0.15,4.6,110,14,298.1,24.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,17,60.3,1.038,1.278,0.005,1248,2530,-1670.6,0.8473,0.29,0.16,7.2,139,14,299.1,25.95,2,0,0,70,1010,6,NAD-SFC,NoSubs
23,1,3,3,18,33.9,1.174,1.059,0.005,1264,3036,-4302.9,0.8473,0.29,0.22,8.2,151,14,299.1,25.95,2,0,0,54,1010,3,NAD-SFC,NoSubs
23,1,3,3,19,2.9,1.099,0.466,0.005,1263,2784,-8888,0.8473,0.29,0.41,7.7,137,14,298.1,24.95,2,0,0,65,1010,6,NAD-SFC,NoSubs
23,1,3,3,20,-64,1.083,-9,-9,-999,2710,1787.5,0.8473,0.29,1,7.7,148,14,298.1,24.95,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,3,3,21,-54.1,0.617,-9,-9,-999,1463,390.3,0.8473,0.29,1,4.6,157,14,297.1,23.95,2,0,0,74,1010,6,NAD-SFC,NoSubs
23,1,3,3,22,-54.3,0.616,-9,-9,-999,1176,388.8,0.8473,0.29,1,4.6,149,14,296.1,22.95,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,3,3,23,-54.4,0.618,-9,-9,-999,1166,390.5,0.8524,0.29,1,4.6,181,14,296.1,22.95,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,24,-47.6,0.539,-9,-9,-999,958,296.6,0.8473,0.29,1,4.1,177,14,295.1,21.95,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,4,4,1,-54.6,0.618,-9,-9,-999,1163,389,0.8524,0.29,1,4.6,186,14,295.1,21.95,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,4,4,2,-64,0.786,-9,-9,-999,1668,683,0.8524,0.29,1,5.7,186,14,296.1,22.95,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,4,4,3,-47.5,0.54,-9,-9,-999,1021,297.8,0.8473,0.29,1,4.1,178,14,296.1,22.95,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,4,-47.6,0.541,-9,-9,-999,956,299.2,0.8524,0.29,1,4.1,189,14,296.1,22.95,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,5,-54.4,0.618,-9,-9,-999,1164,390.5,0.8524,0.29,1,4.6,191,14,296.1,22.95,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,6,-47.7,0.541,-9,-9,-999,961,298.4,0.8524,0.29,0.72,4.1,202,14,295.1,21.95,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,7,11.4,0.592,0.384,0.012,178,1093,-1637.5,0.8524,0.29,0.31,4.1,206,14,295.1,21.95,2,0,0,78,1010,3,NAD-SFC,NoSubs
23,1,4,4,8,45.3,0.474,0.799,0.008,406,798,-212.1,0.8473,0.29,0.19,3.1,158,14,296.1,22.95,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,4,4,9,76.2,0.398,1.096,0.005,622,608,-74.6,0.6829,0.29,0.16,2.6,126,14,296.1,22.95,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,4,4,10,101.2,0.371,1.309,0.008,799,543,-45.4,0.8524,0.29,0.15,2.1,197,14,295.1,21.95,2,0,0,73,1010,2,NAD-SFC,Sub_CC
23,1,4,4,11,119.2,0.498,1.455,0.01,931,844,-93.5,0.8225,0.29,0.14,3.1,227,14,295.1,21.95,2,0,0,78,1010,1,NAD-SFC,NoSubs
23,1,4,4,12,116.6,0.632,1.5,0.01,1044,1204,-195,0.8524,0.29,0.14,4.1,193,14,295.1,21.95,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,13,118.5,0.764,1.534,0.005,1099,1599,-339.2,0.8524,0.29,0.14,5.1,205,14,296.1,22.95,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,14,114,0.912,1.529,0.005,1131,2081,-598.2,0.8524,0.29,0.14,6.2,212,14,295.1,21.95,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,15,76.2,0.554,1.345,0.011,1151,1150,-200.9,0.8524,0.29,0.14,3.6,201,14,294.1,20.95,2,0,0,83,1010,8,NAD-SFC,NoSubs
23,1,4,4,16,83.7,0.428,1.398,0.01,1176,705,-84.4,0.8524,0.29,0.15,2.6,180,14,296.1,22.95,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,17,44.8,0.409,1.139,0.01,1188,629,-137.5,0.8473,0.29,0.16,2.6,173,14,296.1,22.95,2,0,0,73,1010,8,NAD-SFC,NoSubs
23,1,4,4,18,31.2,0.336,1.012,0.01,1197,472,-109.9,0.8473,0.29,0.22,2.1,169,14,296.1,22.95,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,19,2.5,0.092,0.435,0.01,1197,166,-28.3,0.7982,0.29,0.41,0.5,999,14,296.1,22.95,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,20,-6.3,0.106,-9,-9,-999,83,16.8,0.8225,0.29,1,1.5,229,14,296.1,22.95,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,21,-0.6,0.035,-9,-9,-999,19,6.1,0.7982,0.29,1,0.5,999,14,296.1,22.95,2,0,0,73,1010,8,NAD-SFC,NoSubs
23,1,4,4,22,-6.5,0.107,-9,-9,-999,84,17.1,0.8524,0.29,1,1.5,199,14,295.1,21.95,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,4,4,23,-7,0.107,-9,-9,-999,84,15.9,0.8524,0.29,1,1.5,222,14,295.1,21.95,2,0,0,83,1010,3,NAD-SFC,NoSubs
